"Story","Title","Result","Date","Stability","Duration (s)"
"When adding tasks","Adding multiple tasks","SUCCESS","2022-12-18T11:35:43.490418268Z[Etc/UTC]","0.0","37.13"
"When adding tasks","Adding a single task","SUCCESS","2022-12-18T11:36:21.438659412Z[Etc/UTC]","0.0","3.94"
