"Story","Title","Result","Date","Stability","Duration (s)"
"When completing a task","Active tasks should not show completed tasks","SUCCESS","2022-12-18T11:35:43.676913715Z[Etc/UTC]","0.0","39.83"
"When completing a task","Completed tasks should not show active tasks","SUCCESS","2022-12-18T11:36:24.13717714Z[Etc/UTC]","0.0","4.47"
